time_unix,monotonic,time_unix,uptime_s,cpu_load_pct,mem_used_pct,tasks_running,pixhawk_connected,vesc_connected,power_connected,photodiode_connected,pps_synced,pps_rms_us
1778195026.403,3702.159,1778195026.396257,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195026.653,3702.410,1778195026.6469324,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195026.904,3702.661,1778195026.8976266,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195027.155,3702.912,1778195027.148317,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195027.406,3703.163,1778195027.3990116,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195027.657,3703.413,1778195027.6497145,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195027.908,3703.664,1778195027.9003994,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195028.159,3703.915,1778195028.151167,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195028.359,3704.116,1778195028.3525057,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195028.610,3704.366,1778195028.6031969,32.309870261000015,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195028.860,3704.617,1778195028.8540902,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195029.111,3704.868,1778195029.1047795,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195029.362,3705.118,1778195029.3554704,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195029.612,3705.369,1778195029.6061344,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195029.863,3705.620,1778195029.857007,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195030.114,3705.870,1778195030.1076572,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195030.364,3706.121,1778195030.3583343,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195030.615,3706.372,1778195030.6095073,34.3297651150001,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195030.866,3706.622,1778195030.8602252,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195031.116,3706.873,1778195031.11123,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195031.367,3707.124,1778195031.3620577,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195031.618,3707.374,1778195031.6128223,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195031.869,3707.625,1778195031.8635507,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195032.120,3707.876,1778195032.1142561,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195032.371,3708.127,1778195032.3649385,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195032.622,3708.378,1778195032.6156242,36.34785001499995,42.28515625,6.176108753306364,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195032.873,3708.629,1778195032.8663087,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195033.124,3708.880,1778195033.1169462,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195033.374,3709.131,1778195033.3675847,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195033.625,3709.382,1778195033.6182384,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195033.876,3709.632,1778195033.8691194,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195034.126,3709.883,1778195034.1198437,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195034.377,3710.133,1778195034.370583,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195034.628,3710.384,1778195034.6212556,38.36630566899976,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195034.878,3710.635,1778195034.8719308,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195035.129,3710.886,1778195035.1226087,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195035.380,3711.136,1778195035.373274,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195035.631,3711.387,1778195035.623938,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195035.881,3711.638,1778195035.874709,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195036.132,3711.888,1778195036.1253886,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195036.383,3712.139,1778195036.3761098,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195036.633,3712.390,1778195036.6267834,40.38506657800008,38.8671875,6.175958663177239,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195036.884,3712.640,1778195036.8774369,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195037.135,3712.891,1778195037.1283236,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195037.385,3713.142,1778195037.3789494,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195037.636,3713.393,1778195037.62957,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195037.887,3713.644,1778195037.8801954,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195038.138,3713.895,1778195038.1308231,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195038.389,3714.145,1778195038.381541,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195038.639,3714.396,1778195038.6325133,42.405088635000084,38.8671875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195038.890,3714.647,1778195038.883227,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195039.141,3714.897,1778195039.1339967,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195039.392,3715.148,1778195039.3847077,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195039.642,3715.399,1778195039.6354222,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195039.893,3715.649,1778195039.8862364,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195040.144,3715.900,1778195040.1369798,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195040.394,3716.151,1778195040.3876467,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195040.645,3716.402,1778195040.6383314,44.425179985999875,35.7421875,6.175908633134197,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195040.896,3716.652,1778195040.8894396,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195041.147,3716.903,1778195041.1403472,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195041.397,3717.154,1778195041.3910303,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195041.648,3717.404,1778195041.6417067,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195041.899,3717.655,1778195041.892386,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195042.149,3717.906,1778195042.1431065,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195042.400,3718.156,1778195042.3938026,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195042.651,3718.407,1778195042.6444979,46.44358232600007,35.7421875,6.1758586030911555,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195042.901,3718.658,1778195042.8951504,48.463424812000085,40.91796875,6.1754583627468325,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195043.152,3718.908,1778195043.1459475,48.463424812000085,40.91796875,6.1754583627468325,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195043.403,3719.159,1778195043.3966758,48.463424812000085,40.91796875,6.1754583627468325,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195043.653,3719.410,1778195043.6477323,48.463424812000085,40.91796875,6.1754583627468325,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195043.904,3719.661,1778195043.8984087,48.463424812000085,40.91796875,6.1754583627468325,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195044.155,3719.911,1778195044.149081,48.463424812000085,40.91796875,6.1754583627468325,12.0,1.0,1.0,0.0,0.0,1.0,0.0
